filename,multisport,session_index,date,start_time,sport,sub_sport,total_elapsed_time,total_timer_time,total_distance,avg_heart_rate,max_heart_rate,avg_speed,avg_pace,total_calories,total_ascent,avg_cadence,training_load,aerobic_training_effect,anaerobic_training_effect,normalized_power,avg_power,pool_length,total_strokes
2025-10-23-10-20-43.fit,否,,2025-10-23,10:20,60,,2.0,2.0,,97,103,,,,,,,0.1,,,,,
2025-10-25-08-26-44.fit,否,,2025-10-25,08:26,骑行,,110.2,93.6,35.5,146,170,,,894,163,71,,4.7,2.0,,,,
2025-10-25-14-15-40.fit,否,,2025-10-25,14:15,60,,2.0,2.0,,91,96,,,,,,,,,,,,
2025-10-25-20-26-08.fit,否,,2025-10-25,20:26,60,,2.0,2.0,,89,95,,,,,,,,,,,,
2025-10-29-13-46-07.fit,否,,2025-10-29,13:46,60,,2.0,2.0,,92,95,,,,,,,,,,,,
2025-10-30-19-56-41.fit,否,,2025-10-30,19:56,游泳,lap_swimming,40.1,30.1,400.0,120,164,,0:04,122,,34,,3.0,0.9,,,25.0,
2025-11-01-10-49-40.fit,否,,2025-11-01,10:49,骑行,,83.1,62.5,24.23,138,160,,,590,78,73,,3.8,0.9,,,,
2025-11-02-08-51-57.fit,否,,2025-11-02,08:51,60,,2.0,2.0,,76,81,,,,,,,,,,,,
2025-11-04-19-26-27.fit,否,,2025-11-04,19:26,骑行,,40.2,20.8,4.21,115,137,,,148,5,38,,2.1,0.2,,,,
2025-11-05-08-10-31.fit,否,,2025-11-05,08:10,骑行,,39.1,28.9,10.16,139,170,,,291,14,66,,3.3,2.5,,,,
2025-11-07-21-49-04.fit,否,,2025-11-07,21:49,60,,2.0,2.0,,107,110,,,,,,,0.1,,,,,
2025-11-09-13-16-32.fit,否,,2025-11-09,13:16,骑行,,59.7,36.6,5.97,125,148,,,294,25,,,2.8,,,,,
2025-11-10-17-16-59.fit,否,,2025-11-10,17:16,骑行,,44.5,28.8,10.13,128,149,,,250,20,68,,2.8,0.4,,,,
2025-11-11-19-31-31.fit,否,,2025-11-11,19:31,游泳,lap_swimming,38.3,27.0,525.0,117,150,,0:03,233,,20,,2.6,1.1,,,25.0,
2025-11-14-08-10-52.fit,否,,2025-11-14,08:10,骑行,,41.5,27.8,10.2,136,161,,,273,20,71,,3.2,1.3,,,,
2025-11-14-17-21-58.fit,否,,2025-11-14,17:21,骑行,,41.5,29.2,10.27,129,144,,,256,18,64,,2.8,0.3,,,,
2025-11-16-08-07-17.fit,否,,2025-11-16,08:07,骑行,,95.1,79.2,34.84,157,182,,,947,100,83,,5.0,2.8,,,,
2025-11-20-19-39-41.fit,否,,2025-11-20,19:39,游泳,lap_swimming,27.5,18.5,500.0,132,153,,0:02,198,,21,,2.6,0.1,,,25.0,
2025-11-22-10-37-17.fit,否,,2025-11-22,10:37,骑行,,66.8,55.3,22.25,146,177,,,579,69,76,,4.1,1.9,,,,
2025-11-29-08-59-59.fit,否,,2025-11-29,08:59,骑行,,82.2,70.1,28.77,153,173,,,816,85,80,,4.4,2.4,,,,
