最大心率
,值,心率
2026-03-22,183,183 bpm
2026-03-24,176,176 bpm
2026-03-25,166,166 bpm
2026-03-26,145,145 bpm
2026-03-27,159,159 bpm
2026-03-28,164,164 bpm
2026-03-29,108,108 bpm
2026-03-30,155,155 bpm
2026-03-31,140,140 bpm
2026-04-02,158,158 bpm
2026-04-03,162,162 bpm
2026-04-04,175,175 bpm
2026-04-06,175,175 bpm
2026-04-07,159,159 bpm
2026-04-08,172,172 bpm
2026-04-09,155,155 bpm
2026-04-10,148,148 bpm
2026-04-11,164,164 bpm
2026-04-13,153,153 bpm
2026-04-14,168,168 bpm
2026-04-15,152,152 bpm
2026-04-16,171,171 bpm
2026-04-17,157,157 bpm
2026-04-18,158,158 bpm
