睡眠分数 4 周,得分,静息心率,身体电量,脉搏血氧,呼吸,皮肤温度变化,HRV状态,质量,持续时间,睡眠需求,睡觉,起床时间
2026-03-22,87,57,72,97.79,15.46,+0.1°,51,良好,8小时 46分钟,8小时 20分钟,10:49 PM,7:43 AM
2026-03-21,68,57,67,98.06,14.92,0°,51,一般,7小时 10分钟,8小时 20分钟,10:50 PM,6:45 AM
2026-03-20,55,58,53,98.27,15.62,+0.1°,52,欠佳,7小时 25分钟,7小时 50分钟,10:46 PM,8:21 AM
2026-03-19,84,56,69,98.43,15.5,-0.2°,51,良好,7小时 53分钟,8小时 30分钟,10:16 PM,6:21 AM
2026-03-18,77,52,69,98.25,14.67,+0.1°,51,一般,6小时 7分钟,8小时 20分钟,12:29 AM,6:37 AM
2026-03-17,72,55,59,98.3,14.61,0°,50,一般,6小时 16分钟,7小时 50分钟,12:09 AM,6:50 AM
2026-03-16,80,52,71,98.31,14.7,-0.1°,50,良好,6小时 30分钟,8小时 20分钟,11:53 PM,6:25 AM
2026-03-15,79,56,68,97.65,15.2,+0.1°,49,一般,7小时 4分钟,7小时 50分钟,1:11 AM,8:17 AM
2026-03-14,61,56,64,98.24,15.53,-0.3°,48,一般,7小时 43分钟,7小时 50分钟,10:57 PM,7:14 AM
2026-03-13,66,57,59,97.75,15.39,-0.2°,47,一般,8小时 2分钟,7小时 50分钟,9:29 PM,6:42 AM
2026-03-12,89,55,70,98.02,15.14,-0.3°,48,良好,7小时 21分钟,7小时 50分钟,10:58 PM,6:22 AM
2026-03-11,73,54,67,97.67,15.29,+0.1°,48,一般,7小时 36分钟,7小时 50分钟,9:51 PM,6:21 AM
2026-03-10,59,54,74,98.63,15.33,-0.5°,48,欠佳,9小时 16分钟,7小时 50分钟,10:29 PM,8:34 AM
2026-03-09,81,54,61,97.67,14.88,+0.5°,48,良好,7小时 18分钟,7小时 50分钟,10:55 PM,6:24 AM
2026-03-08,69,56,64,96.98,15,+0.2°,47,一般,8小时 9分钟,7小时 50分钟,11:23 PM,7:52 AM
2026-03-07,76,56,69,97.46,15.57,+0.5°,47,一般,9小时 24分钟,8小时 30分钟,10:38 PM,8:56 AM
2026-03-06,77,56,69,97.68,14.9,+0.1°,48,一般,6小时 43分钟,8小时 50分钟,1:09 AM,8:18 AM
2026-03-05,63,57,60,98.45,15.2,+0.4°,48,一般,6小时 33分钟,9小时 0分钟,12:14 AM,7:27 AM
2026-03-04,69,57,60,97.82,15.61,-0.5°,48,一般,6小时 9分钟,8小时 50分钟,1:53 AM,8:40 AM
2026-03-03,64,54,56,96.8,15.17,-0.3°,48,一般,4小时 50分钟,8小时 20分钟,1:09 AM,6:04 AM
2026-03-02,66,56,55,97.45,15.25,-0.2°,48,一般,5小时 53分钟,7小时 50分钟,2:35 AM,8:33 AM
2026-03-01,84,56,69,98.91,15.38,-0.3°,48,良好,7小时 44分钟,7小时 50分钟,12:59 AM,8:49 AM
2026-02-28,77,56,63,98.04,15.02,+0.3°,49,一般,7小时 1分钟,7小时 50分钟,1:04 AM,8:22 AM
2026-02-27,88,53,76,97.73,14.96,-0.1°,49,良好,8小时 11分钟,8小时 40分钟,12:19 AM,8:40 AM
2026-02-26,76,53,44,--,14.46,+0.1°,49,一般,6小时 12分钟,8小时 30分钟,2:03 AM,8:41 AM
2026-02-25,89,56,73,97.34,14.89,+0.1°,48,良好,8小时 35分钟,9小时 0分钟,10:48 PM,7:50 AM
2026-02-24,34,53,21,97.34,15.21,+0.4°,48,欠佳,2小时 42分钟,7小时 50分钟,5:16 AM,8:28 AM
2026-02-23,82,58,59,97.46,15.12,0°,48,良好,8小时 7分钟,7小时 50分钟,11:28 PM,8:01 AM
